operator_id,name,experience_years,skill_level,training_score,safety_score,average_task_accuracy,average_task_time,incident_count,fatigue_score,certification_status
OP001,Marcus Vance,8.5,Expert,94.0,92.5,96.0,52.0,1,15.0,Certified
OP002,Vikram Patel,1.5,Beginner,81.5,74.3,74.4,48.3,1,20.5,Certified
OP003,Li O'Connor,2.2,Beginner,67.2,73.1,80.9,57.7,2,8.8,Pending Recertification
OP004,Aisha Torres,0.8,Beginner,76.4,80.6,88.7,51.1,0,32.8,Certified
OP005,Fatima Vance,1.2,Beginner,80.0,74.3,82.9,56.9,2,7.4,Certified
OP006,Marcus Torres,18.0,Expert,96.7,95.7,99.2,41.7,1,5.3,Certified
OP007,David Patel,2.1,Beginner,86.3,74.8,85.7,43.6,0,22.7,Certified
OP008,Marcus Kowalski,7.0,Expert,93.5,98.1,96.2,49.3,1,16.5,Certified
OP009,Fatima Patel,2.4,Beginner,74.6,86.3,88.2,55.8,1,25.8,Pending Recertification
OP010,Chloe Gomez,4.6,Intermediate,88.8,92.0,98.3,53.7,1,15.6,Certified
OP011,Marcus Chen,2.4,Beginner,80.1,84.3,81.3,45.1,2,11.5,Certified
OP012,Fatima Sato,13.8,Expert,97.5,93.2,99.9,57.7,1,19.4,Certified
OP013,Vikram O'Connor,11.8,Expert,95.0,92.5,96.0,41.5,1,18.0,Certified
OP014,David Sato,3.2,Intermediate,87.0,86.8,90.8,52.8,0,21.2,Certified
OP015,Aisha Torres,4.2,Intermediate,96.0,83.3,91.9,43.3,0,18.5,Certified
OP016,Kenji Khan,0.8,Beginner,82.9,95.2,82.7,56.7,1,17.9,Certified
OP017,Maria Al-Mansoor,1.9,Beginner,84.5,86.0,88.0,48.8,2,11.0,Certified
OP018,Vikram Vance,9.5,Expert,93.0,95.3,95.6,61.4,0,25.0,Certified
OP019,Chloe Khan,0.6,Beginner,80.4,67.1,78.7,57.6,3,11.7,Certified
OP020,Kenji Torres,13.4,Expert,94.9,93.9,98.4,51.0,0,28.5,Certified
OP021,Hannah Al-Mansoor,4.3,Intermediate,88.0,86.4,86.2,60.4,0,22.2,Certified
OP022,David Torres,11.4,Expert,97.9,96.0,100.0,52.2,0,12.3,Certified
OP023,Elena Patel,0.5,Beginner,72.7,79.2,89.2,62.8,1,12.0,Pending Recertification
OP024,Hannah Torres,7.4,Expert,98.9,91.0,98.0,46.8,0,19.2,Certified
OP025,Li Khan,2.8,Intermediate,84.9,83.6,91.7,55.9,2,39.9,Certified
OP026,Kenji Gomez,3.9,Intermediate,92.1,88.5,88.6,53.7,0,16.9,Certified
OP027,Chloe Al-Mansoor,1.5,Beginner,84.3,76.4,86.4,54.0,3,14.4,Certified
OP028,Sarah Al-Mansoor,1.4,Beginner,84.3,84.0,84.5,54.8,2,8.9,Certified
OP029,Maria Kowalski,11.0,Expert,99.2,98.1,94.6,58.9,0,22.1,Certified
OP030,Vikram Torres,10.6,Expert,96.1,96.8,99.2,54.2,0,27.1,Certified
OP031,Sarah Patel,6.6,Intermediate,89.9,89.2,87.4,43.4,0,14.1,Certified
OP032,Sarah Silva,3.6,Intermediate,80.1,88.4,93.4,48.2,1,15.3,Certified
OP033,Kenji Gomez,4.2,Intermediate,92.4,84.4,89.1,54.6,0,37.1,Certified
OP034,Li Sato,5.6,Intermediate,78.9,97.2,92.7,48.0,1,17.1,Certified
OP035,Elena Patel,0.6,Beginner,90.0,72.6,82.3,52.9,1,25.6,Certified
OP036,Elena Sato,2.1,Beginner,92.7,86.9,89.2,61.8,1,12.3,Certified
OP037,Kenji Gomez,0.6,Beginner,91.2,76.3,83.9,49.2,1,5.0,Certified
OP038,Carlos Kowalski,5.3,Intermediate,86.8,81.5,92.5,53.2,0,36.8,Certified
OP039,James Kowalski,10.2,Expert,97.4,91.6,97.5,47.3,0,23.2,Certified
OP040,Mateo Novak,4.8,Intermediate,96.9,88.6,87.0,52.2,1,22.7,Certified
OP041,Chloe O'Connor,16.7,Expert,96.6,93.3,99.2,45.5,0,13.3,Certified
OP042,Vikram O'Connor,1.1,Beginner,85.7,83.9,91.3,57.9,3,12.3,Certified
OP043,Li Gomez,8.7,Expert,96.4,94.9,100.0,48.0,0,30.4,Certified
OP044,Fatima Novak,7.5,Expert,99.9,93.5,97.1,50.6,0,24.8,Certified
OP045,Maria Patel,0.6,Beginner,79.2,80.3,84.5,58.3,2,27.6,Certified
OP046,Jake Johnson,7.5,Expert,97.9,90.8,98.6,47.8,0,17.9,Certified
OP047,Carlos Vance,4.5,Intermediate,88.3,92.9,88.7,51.3,0,22.9,Certified
OP048,Aisha O'Connor,1.0,Beginner,81.5,87.5,81.5,58.0,0,25.0,Certified
OP049,Sarah Schmidt,0.9,Beginner,71.6,67.9,80.4,53.4,4,15.6,Pending Recertification
OP050,Carlos Novak,3.7,Intermediate,90.6,88.0,88.7,52.9,1,21.2,Certified
OP051,Kenji Silva,2.2,Beginner,82.7,75.6,84.3,60.0,1,21.8,Certified
OP052,Vikram Miller,4.2,Intermediate,96.3,88.3,95.8,58.6,1,19.5,Certified
OP053,Aisha Gomez,0.7,Beginner,85.9,77.2,76.7,59.4,1,26.3,Certified
OP054,James Khan,0.9,Beginner,82.1,65.3,93.4,46.7,3,32.7,Certified
OP055,Hannah Schmidt,14.0,Expert,95.2,94.7,97.7,42.8,0,17.1,Certified
OP056,Sarah Silva,3.2,Intermediate,88.5,94.2,91.8,51.0,4,23.0,Certified
OP057,Marcus Gomez,3.5,Intermediate,91.7,81.2,96.2,62.8,0,20.7,Certified
OP058,Sarah Khan,4.2,Intermediate,89.6,84.3,98.2,51.8,2,25.8,Certified
OP059,Hannah Kowalski,1.2,Beginner,85.3,88.4,81.8,52.5,0,26.5,Certified
OP060,Jake Al-Mansoor,3.0,Intermediate,93.4,79.2,91.5,62.8,0,18.6,Certified
OP061,Sarah Miller,3.0,Intermediate,90.7,92.9,91.9,58.6,0,21.1,Certified
OP062,James Johnson,3.9,Intermediate,94.6,87.8,86.2,55.6,0,10.5,Certified
OP063,Marcus Khan,1.5,Beginner,78.3,83.2,94.3,52.5,1,11.5,Certified
OP064,Maria Dubois,1.0,Beginner,79.4,74.1,78.8,66.4,1,18.3,Certified
